time, bids, asks, maxclose, minclose, uppertarget, lowertarget
1085616000, 1.2273, 1.2277, 1.2273, 1.2192, -0.03259186832884836, -0.6925772019881
1085702400, 1.2223, 1.2227, 1.2283, 1.2192, 0.4581526630123578, -0.2863454143827078
1085961600, 1.2192, 1.2196, 1.2319, 1.2192, 1.008858267716533, -0.03280839895012762
1086048000, 1.2241, 1.2245, 1.2319, 1.2208, 0.6045257740380748, -0.3022628870190192
1086134400, 1.2208, 1.2212, 1.2319, 1.2028, 0.8764744429881988, -1.507208387942331
1086220800, 1.2219, 1.2223, 1.2319, 1.2028, 0.785661674441448, -1.59587527620917
1086307200, 1.2283, 1.2287, 1.2319, 1.2005, 0.2605226736139454, -2.295856061222828
1086566400, 1.2319, 1.2323, 1.2319, 1.2005, -0.032470168033116, -2.58137835863301
1086652800, 1.2258, 1.2262, 1.2258, 1.2005, -0.03263175069342111, -2.096589982052542
1086739200, 1.2028, 1.2032, 1.2162, 1.2005, 1.080811439973387, -0.2244762221483328
1086825600, 1.2113, 1.2117, 1.2162, 1.2005, 0.3715016923965944, -0.9246264344093205
1086912000, 1.2005, 1.2009, 1.2162, 1.2005, 1.274468971261982, -0.03331945022906756
1087171200, 1.2056, 1.206, 1.2162, 1.2007, 0.8460517584605165, -0.4396151293961582
1087257600, 1.2162, 1.2166, 1.2162, 1.2007, -0.03288932741325078, -1.307350764676865
1087344000, 1.2007, 1.2011, 1.2139, 1.2007, 1.066044807195815, -0.03331390022486516
1087430400, 1.2046, 1.205, 1.2182, 1.2046, 1.09579943549725, -0.03320604349991332
1087516800, 1.2139, 1.2143, 1.2182, 1.2092, 0.3212785237663741, -0.4201334541560163
1087776000, 1.2111, 1.2115, 1.2186, 1.2092, 0.5862439104945821, -0.1899099991743018
1087862400, 1.2117, 1.2121, 1.2186, 1.2081, 0.5364364116530453, -0.3301147148634153
1087948800, 1.2092, 1.2096, 1.2186, 1.2081, 0.7442937479325088, -0.1240489579887576
1088035200, 1.2182, 1.2186, 1.2186, 1.2081, 0, -0.861927433918893
1088121600, 1.2178, 1.2182, 1.2315, 1.2081, 1.092133355230752, -0.8293644276564295
1088380800, 1.2186, 1.219, 1.2315, 1.2081, 1.025767273920907, -0.8944690628590112
1088467200, 1.2081, 1.2085, 1.2315, 1.2081, 1.903815909279044, -0.03310984190050128
1088553600, 1.2186, 1.219, 1.2366, 1.2155, 1.444280321680622, -0.2872148366978367
1088640000, 1.2155, 1.2159, 1.2391, 1.2155, 1.908679555738388, -0.03290826820238223
